Total Caess,18-Mar-2020,,,19-Mar-2020,,,20-Mar-2020,,,21-Mar-2020,,,22-Mar-2020,,,23-Mar-2020,,,24-Mar-2020,,,25-Mar-2020,,,26-Mar-2020,,,27-Mar-2020,,,28-Mar-2020,,,29-Mar-2020,,,30-Mar-2020,,,31-Mar-2020,,,1-Apr-2020,,,2-Apr-2020,,,3-Apr-2020,,,4-Apr-2020,,,5-Apr-2020,,,6-Apr-2020,,,7-Apr-2020,,
,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases
India,126,14,3,134,14,3,170,20,4,209,23,4,312,24,5,329,24,7,457,75,10,510,40,12,593,43,13,640,67,17,810,80,19,867,87,25,1030,102,29,1230,140,35,1466,133,38,1965,151,50,2330,190,71,2762,237,77,3204,285,89,3851,319,111,4312,353,124
USA,6393,17,108,9196,106,150,13417,108,201,19154,147,262,26595,176,340,34624,175,471,45529,333,593,54174,379,804,67549,616,1054,80480,1864,1201,10495,2465,1711,119239,3231,2227,135138,4767,2505,155378,5945,3173,178285,7082,4074,202351,8878,5133,238852,11941,6574,217845,9920,7158,288199,14967,8492,310483,17644,9670,345062,19940,11752
China,8056,69601,3237,7263,70420,3245,7263,70420,3245,6013,71740,3255,5549,72440,3261,5549,72244,3261,4735,73159,3277,4287,73650,3281,3947,74051,3287,3949,74051,3287,3128,74971,3295,2691,75448,3300,2691,75448,3300,2161,76052,3305,2004,76238,3312,1863,76408,3318,1727,76571,3322,1562,76751,3326,1376,76964,3329,1299,77078,3331,1242,77167,3331
Italy,26062,2941,2503,28710,4025,2978,33190,4440,3405,37860,5129,4032,42681,6072,4825,76634,7024,5476,50418,7432,6077,54030,8326,6820,57521,9362,7503,62013,10361,8215,66414,10950,9134,70065,12384,10023,73880,13030,10779,75528,14620,11591,77635,15729,12428,80572,16847,13155,83049,18278,13915,85388,19758,14681,88274,20996,15362,91246,21815,15887,93187,22837,16523
Iran,9792,5389,988,10516,5710,1135,11144,5979,1284,11466,6745,1433,11419,7635,1556,12040,7913,1685,12861,8376,1812,13964,8913,1934,15315,9625,2077,16715,10457,2234,18821,11133,2378,23278,12391,2640,24827,13911,2757,27052,14656,2898,27052,14656,2898,29084,15473,3036,31954,17935,3294,34356,17935,3452,32612,22011,3603,32525,24236,3739,31678,27039,3872
Germany,9263,71,26,12194,105,28,15161,115,44,19600,180,68,22207,239,84,24513,266,94,29498,453,130,29542,3290,159,33570,3547,206,37271,5678,262,47376,3144,351,53423,4445,481,56612,5300,545,59645,7635,707,63572,7632,800,65374,11722,931,74331,13597,1198,76422,14361,1298,72379,23192,1476,73483,25280,1597,74119,28238,1842
France,6953,602,175,8268,602,264,9323,1300,372,10862,1300,450,12310,1587,562,13144,2200,674,16796,2200,860,17923,3281,1100,20621,3281,1331,24178,3281,1696,25269,5700,1995,29597,5700,2314,30366,7202,2606,33562,7964,3024,40614,7991,3523,43396,9561,4032,42670,11055,5380,43823,14008,6507,46907,14138,7560,46217,16183,8078,48229,17250,8911
S.Korea,6789,1540,84,6527,1947,91,6527,1947,91,6319,2233,100,5884,2909,104,5684,3166,111,5410,3507,120,5281,3730,126,4966,4144,131,4665,4528,139,4523,4811,144,4398,5033,152,4275,5228,158,4216,5408,162,4155,5567,165,3979,5828,169,3867,6021,174,3654,6325,177,3591,6463,183,3500,6598,186,1742,4918,134
Finland,312,10,0,349,10,0,390,10,0,440,10,0,512,10,1,615,10,1,689,10,1,781,10,1,781,10,1,943,10,5,1144,10,9,1144,10,9,1197,10,11,1357,10,17,1424,10,17,1424,10,17,1595,10,20,1850,10,25,1902,10,25,2148,10,28,2274,10,34
